src,status,reason,sha256,size_bytes,line_count,experiment,schema,rq,timestamp,subject_id_from_path,warnings
results/bug_detection_test_outcomes_20260514T221958Z.csv,excluded,CSV has 0 data rows (header only or empty),9d11e644f31cc8159e3dcb35cdf13f7de7cb863dfd69b1ca6808f30505636419,128,1,bug_detection,test_outcomes,RQ4,20260514T221958Z,,
results/bug_detection_test_outcomes_20260514T222821Z.csv,partial,mutant_ids_observed_count=1 below min_mutants=30,5fae88dfe0d74cb2731a4729d414e14f16fc8dfdb6c5e6b662066f7e20311e64,638,4,bug_detection,test_outcomes,RQ4,20260514T222821Z,,duplicate run_ids: ['bug_detection-s1-flask-catalog-mutant1-static-a7d33f'] (1 total)
results/bug_detection_test_outcomes_20260514T230001Z.csv,partial,mutant_ids_observed_count=1 below min_mutants=30,c87fd4e2b5fb3307464d587ff9a375549dd917ea9d32d117a193a1e53cc286b7,638,4,bug_detection,test_outcomes,RQ4,20260514T230001Z,,duplicate run_ids: ['bug_detection-s1-flask-catalog-mutant1-static-a002a6'] (1 total)
results/bug_detection_test_outcomes_20260515T045449Z.csv,partial,mutant_ids_observed_count=1 below min_mutants=30,28840d7d7e175c9a80fa04816411af8536cbb9f3a71ed9b32cce02354a2a5a21,638,4,bug_detection,test_outcomes,RQ4,20260515T045449Z,,duplicate run_ids: ['bug_detection-s1-flask-catalog-mutant1-static-d6add2'] (1 total)
results/cross_pr_test_outcomes_20260514T211354Z.csv,obsolete,"legacy top-level CSV — pre-2026-05-15 layout, superseded by per-subject results/<*>/cross_pr_*.csv",91b60ce3ac2ef16c9d7e3437c602ad51ee366994d5a295c027ed79508079fd4a,11121,85,cross_pr,test_outcomes,RQ2,20260514T211354Z,,"duplicate run_ids: ['cross_pr-k2-isoTrue-033db331-1-concurrent_k2', 'cross_pr-k2-isoTrue-033db331-0-concurrent_k2', 'cross_pr-k4-isoTrue-1cbcbf16-1-concurrent_k4'] (28 total); header does not match expected schema for this experiment"
results/cross_pr_test_outcomes_20260515T045444Z.csv,partial,data_row_count=21 below min_rows=40 for cross_pr,6f481ef97996fff9914825ab4b35f0791560dc1e5726cdc537f312002461ea24,3593,22,cross_pr,test_outcomes,RQ2,20260515T045444Z,,"duplicate run_ids: ['cross_pr-s1-flask-catalog-k2-isoTrue-4188938c-1-concurrent_k2', 'cross_pr-s1-flask-catalog-k2-isoTrue-4188938c-0-concurrent_k2', 'cross_pr-s1-flask-catalog-k4-isoTrue-14cb35f2-3-concurrent_k4'] (7 total)"
results/flakiness_test_outcomes_20260514T210202Z.csv,excluded,CSV has 0 data rows (header only or empty),8998dc20f46147ff40cdd141b94c1e0458b2b453280185a0b72f1027734a976a,117,1,flakiness,test_outcomes,RQ1,20260514T210202Z,,
results/flakiness_test_outcomes_20260514T210450Z.csv,obsolete,"legacy top-level CSV — pre-2026-05-15 layout, superseded by per-subject results/<*>/flakiness_*.csv",4b08ba2fbb8546ab0415a1f3ca766cf36925b85cca3c0c2bffce9fbde98e40dd,58317,511,flakiness,test_outcomes,RQ1,20260514T210450Z,,"duplicate run_ids: ['flakiness-isoTrue-000-00319c', 'flakiness-isoTrue-001-5230f1', 'flakiness-isoTrue-002-12fe49'] (60 total); header does not match expected schema for this experiment"
results/flakiness_test_outcomes_20260514T230001Z.csv,obsolete,"legacy top-level CSV — pre-2026-05-15 layout, superseded by per-subject results/<*>/flakiness_*.csv",59bc9f5167940cc9fd6c8be22f90263eb678e658f95ae03f565b6ebceca5f276,14795,100,flakiness,test_outcomes,RQ1,20260514T230001Z,,"duplicate run_ids: ['flakiness-s1-flask-catalog-isoTrue-000-88f3ad', 'flakiness-s1-flask-catalog-isoTrue-001-c01983', 'flakiness-s1-flask-catalog-isoTrue-002-e8c0b3'] (10 total); missing iso condition(s): ['False']"
results/flakiness_test_outcomes_20260515T045438Z.csv,partial,data_row_count=17 below 50% of expected (~180) for flakiness,8eda146d38e4d4a81c1fe508009f5abce2c75df060d04637fcd36fd5eda4e2f4,2652,18,flakiness,test_outcomes,RQ1,20260515T045438Z,,"duplicate run_ids: ['flakiness-s1-flask-catalog-isoTrue-000-cda541', 'flakiness-s1-flask-catalog-isoTrue-001-5e34c3'] (2 total); missing iso condition(s): ['False']"
